Breakfast Name,Breakfast Protein,Breakfast Carbs,Breakfast Fats,Breakfast Fibre,Type (Veg/ Non Veg),Breakfast Quantity,Cuisine (North Indian/ South Indian/ General),Diabetes,Thyroid,PCOS,Kidney,Lactose Intolerant,Vegan
Poha (Cooked),2.34,18.8,2.87,0.9,Veg,100,General,Y,Y,Y,Y,Y,Y
Idli,4.2,31.2,1.1,1.4,Veg,100,South Indian,Y,Y,N,Y,Y,Y
Dosa,4,29.9,3.8,0.9,Veg,100,South Indian,Y,Y,N,Y,Y,Y
Aloo Paratha,4.7,35.4,8.5,6.7,Veg,100,North Indian,N,Y,Y,Y,Y,Y
Upma,2.2,13.7,2.6,1.3,Veg,100,South Indian,Y,Y,N,Y,Y,Y
Methi Paratha,9,46,12.9,7,Veg,100,General,Y,Y,Y,Y,Y,Y
Moong Dal Chilla,7.9,19.4,2.7,1.8,Veg,100,North Indian,Y,Y,Y,N,Y,Y
Dhokla,9.7,27.2,12.6,4.3,Veg,100,General,Y,Y,Y,Y,Y,Y
Mixed Veg Paratha,7,42,8,5,Veg,100,General,Y,Y,Y,Y,Y,Y
Whole Egg,13,0.7,9.5,0,Non Veg,100,General,Y,Y,Y,N,Y,N
Egg White,11,0.7,0.2,0,Non Veg,100,North Indian,Y,Y,Y,N,Y,N
Kidney Beans (Raw),12,30,0.4,12.5,Veg,50,North Indian,Y,Y,Y,Y,Y,Y
Chickpeas (Raw),10.3,31.5,3,6,Veg,50,North Indian,Y,Y,Y,Y,Y,Y
Kala Chana (Raw),8.5,29.9,2.8,10,Veg,50,North Indian,Y,Y,Y,Y,Y,Y
Oats Chilla,10.12,41.38,8.31,7.7,Veg,100,General,Y,Y,Y,N,Y,Y
Oats Idli,9,20,1.5,5,Veg,100,South Indian,Y,Y,Y,N,Y,Y
Oatmeal,1.5,12,1.5,1.7,Veg,100,General,Y,Y,Y,N,Y,Y
Appam,3.3,37.4,5.3,1.3,Veg,100,South Indian,N,Y,Y,Y,Y,Y
Rava Idli,5,32.5,2.5,2.5,Veg,100,South Indian,Y,Y,N,Y,Y,Y
Oats Porridge,4.7,12.9,2.5,1.2,Veg,100,General,Y,Y,Y,N,Y,Y
Onion Uttapam,4.6,28.7,5.8,2.3,Veg,100,South Indian,Y,Y,Y,Y,Y,Y
Oats Upma,6,30,4,5,Veg,100,South Indian,Y,Y,Y,N,Y,Y
Daliya Upma,1.7,13.07,1.7,1.3,Veg,100,South Indian,Y,Y,N,Y,Y,Y
