Main Name,Main Protein,Main Carbs,Main Fats,Main Fibre,Type (Veg/ Non Veg),Main Quantity,Cuisine (North Indian/ South Indian/ General),Diabetes,Thyroid,PCOS,Kidney,Lactose Intolerant,Vegan
Kidney Beans (Raw),12,30,0.4,12.5,Veg,50,North Indian,Y,Y,Y,N,Y,Y
Chickpeas (Raw),10.3,31.5,3,6,Veg,50,North Indian,Y,Y,Y,N,Y,Y
Kala Chana (Raw),8.5,29.9,2.8,10,Veg,50,North Indian,Y,Y,Y,N,Y,Y
Bhindi,3.62,14.08,0.44,5.4,Veg,200,General,Y,Y,Y,Y,Y,Y
Karela,8.34,10.76,0.72,3.8,Veg,200,General,Y,Y,Y,Y,Y,Y
Spinach(cooked),5.94,11.14,0.52,4.8,Veg,200,General,Y,Y,Y,Y,Y,Y
Cabbage(Cooked),2.54,11.02,0.12,3.8,Veg,200,General,Y,N,Y,Y,Y,Y
Eggplant(Cooked),1.63,16.88,0.46,5,Veg,200,Gerenal,Y,Y,Y,Y,Y,Y
Cauliflower(Cooked),3.44,7.56,0.68,5,Veg,200,General,Y,Y,Y,Y,Y,Y
Corn(Cooked),3.4,21.46,1.06,2.89,Veg,100,North Indian,Y,N,N,N,Y,Y
Potato,2.18,19.11,0.1,2.37,Veg,100,General,Y,Y,Y,Y,Y,N
Dal Fry,6,12,4,3,Veg,100,General,Y,Y,Y,N,Y,Y
Channa Dal(Cooked),7.2,23.1,2.5,6.1,Veg,100,General,Y,Y,Y,N,Y,Y
Mung Dal(Cooked),8,20.5,1,8,Veg,100,General,Y,Y,Y,N,Y,Y
Toor Dal(Cooked),10,26.18,6,4,Veg,100,General,Y,Y,Y,N,Y,Y
Rasam,2.2,8.5,3.1,2.7,Veg,240,South Indian,Y,Y,Y,Y,Y,Y
Banana Sabzi,2,32,10,3,Veg,140,South Indian,Y,Y,Y,N,Y,Y
Matar Sabzi,2.4,9.5,3.5,2.4,Veg,120,General,Y,Y,Y,N,Y,Y
Suran Sabzi(Yam),2,22,12,4,Veg,100,General,Y,Y,N,N,Y,Y
Tinda Sabzi,1,12,3,0,Veg,100,General,Y,Y,Y,Y,Y,Y
Sev Tomato Sabzi,4.5,15.5,1,4.5,Veg,200,General,N,N,Y,N,Y,Y
Kofta Sabzi,4.5,20,12,0,Veg,100,General,Y,N,Y,N,Y,N
Gawar Sabzi(Cluster Beans),1,11,10,3,Veg,100,General,Y,Y,Y,Y,Y,Y
Kidney Beans (Raw),18,45,0.6,18.75,Veg,75,North Indian,Y,Y,Y,N,Y,Y
Chickpeas (Raw),15.45,47.25,4.5,9,Veg,75,North Indian,Y,Y,Y,N,Y,Y
Kala Chana (Raw),12.75,44.85,4.2,15,Veg,75,North Indian,Y,Y,Y,N,Y,Y
Bhindi,5.43,21.12,0.66,8.1,Veg,300,General,Y,Y,Y,Y,Y,Y
Karela,12.51,16.14,1.08,5.7,Veg,300,General,Y,Y,Y,Y,Y,Y
Spinach(cooked),8.91,16.71,0.78,7.2,Veg,300,General,Y,Y,Y,Y,Y,Y
Cabbage(Cooked),3.81,16.53,0.18,5.7,Veg,300,General,Y,N,Y,Y,Y,Y
Eggplant(Cooked),2.445,25.32,0.69,7.5,Veg,300,Gerenal,Y,Y,Y,Y,Y,Y
Cauliflower(Cooked),5.16,11.34,1.02,7.5,Veg,300,General,Y,Y,Y,Y,Y,Y
Corn(Cooked),5.1,32.19,1.59,4.335,Veg,150,North Indian,Y,N,N,N,Y,Y
Potato,3.27,28.665,0.15,3.555,Veg,150,General,Y,Y,Y,Y,Y,N
Dal Fry,9,18,6,4.5,Veg,150,General,Y,Y,Y,N,Y,Y
Channa Dal(Cooked),10.8,34.65,3.75,9.15,Veg,150,General,Y,Y,Y,N,Y,Y
Mung Dal(Cooked),12,30.75,1.5,12,Veg,150,General,Y,Y,Y,N,Y,Y
Toor Dal(Cooked),15,39.27,9,6,Veg,150,General,Y,Y,Y,N,Y,Y
Rasam,3.3,12.75,4.65,4.05,Veg,360,South Indian,Y,Y,Y,Y,Y,Y
Banana Sabzi,3,48,15,4.5,Veg,210,South Indian,Y,Y,Y,N,Y,Y
Matar Sabzi,3.6,14.25,5.25,3.6,Veg,180,General,Y,Y,Y,N,Y,Y
Suran Sabzi(Yam),3,33,18,6,Veg,150,General,Y,Y,N,N,Y,Y
Tinda Sabzi,1.5,18,4.5,0,Veg,150,General,Y,Y,Y,Y,Y,Y
Sev Tomato Sabzi,6.75,23.25,1.5,6.75,Veg,300,General,N,N,Y,N,Y,Y
Kofta Sabzi,6.75,30,18,0,Veg,150,General,Y,N,Y,N,Y,N
Gawar Sabzi(Cluster Beans),1.5,16.5,15,4.5,Veg,150,General,Y,Y,Y,Y,Y,Y
