"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
"Cycling, <10 mph, leisure bicycling",236,281,327,372,0.82323563
"Cycling, >20 mph, racing",944,1126,1308,1489,3.294973528
"Cycling, 10-11.9 mph, light",354,422,490,558,1.234853445
"Cycling, 12-13.9 mph, moderate",472,563,654,745,1.647825266
"Cycling, 14-15.9 mph, vigorous",590,704,817,931,2.059443081
"Cycling, 16-19 mph, very fast, racing",708,844,981,1117,2.471060896
"Stationary cycling, very light",177,211,245,279,0.617426722
"Stationary cycling, light",325,387,449,512,1.132625994
"Stationary cycling, moderate",413,493,572,651,1.441339355
"Stationary cycling, vigorous",620,739,858,977,2.162347534
"Stationary cycling, very vigorous",738,880,1022,1163,2.574642352
"Weight lifting, body building, vigorous",354,422,490,558,1.234853445
"Weight lifting, light workout",177,211,245,279,0.617426722
Stair machine,531,633,735,838,1.85295717
"Rowing machine, light",207,246,286,326,0.721008179
"Rowing machine, moderate",413,493,572,651,1.441339355
"Rowing machine, vigorous",502,598,695,791,1.750729719
"Rowing machine, very vigorous",708,844,981,1117,2.471060896
"Ballet, twist, jazz, tap",266,317,368,419,0.92749409
"Ballroom dancing, slow",177,211,245,279,0.617426722
"Ballroom dancing, fast",325,387,449,512,1.132625994
"Running, 5 mph (12 minute mile)",472,563,654,745,1.647825266
"Running, 5.2 mph (11.5 minute mile)",531,633,735,838,1.85295717
"Running, 6 mph (10 min mile)",590,704,817,931,2.059443081
"Running, 6.7 mph (9 min mile)",649,774,899,1024,2.265251988
"Running, 7 mph (8.5 min mile)",679,809,940,1070,2.368156442
"Running, 7.5mph (8 min mile)",738,880,1022,1163,2.574642352
"Running, 8 mph (7.5 min mile)",797,950,1103,1256,2.779774257
"Running, 8.6 mph (7 min mile)",826,985,1144,1303,2.88267871
"Running, 9 mph (6.5 min mile)",885,1056,1226,1396,3.089164621
"Running, 10 mph (6 min mile)",944,1126,1308,1489,3.294973528
"Running, 10.9 mph (5.5 min mile)",1062,1267,1471,1675,3.706591343
"Running, general",472,563,654,745,1.647825266
"Running, stairs, up",885,1056,1226,1396,3.089164621
Badminton,266,317,368,419,0.92749409
Basketball,354,422,490,558,1.234853445
Bowling,177,211,245,279,0.617426722
"Boxing, in ring",708,844,981,1117,2.471060896
"Boxing, punching bag",354,422,490,558,1.234853445
"Cricket (batting, bowling)",295,352,409,465,1.02972154
Rugby,472,563,654,745,1.647825266
"Golf, walking and carrying clubs",266,317,368,419,0.92749409
"Golf, driving range",177,211,245,279,0.617426722
Gymnastics,236,281,327,372,0.82323563
Handball,472,563,654,745,1.647825266
Field hockey,472,563,654,745,1.647825266
Ice hockey,472,563,654,745,1.647825266
"Martial arts, judo, karate, jujitsu",590,704,817,931,2.059443081
"Martial arts, kick boxing",590,704,817,931,2.059443081
"Martial arts, tae kwan do",590,704,817,931,2.059443081
Football,502,599,695,791,1.75
"Rock climbing, ascending rock",649,774,899,1024,2.265251988
"Jumping rope, fast",708,844,981,1117,2.471060896
"Jumping rope, moderate",590,704,817,931,2.059443081
"Jumping rope, slow",472,563,654,745,1.647825266
Skateboarding,295,352,409,465,1.02972154
Roller skating,413,493,572,651,1.441339355
Squash,708,844,981,1117,2.471060896
"Table tennis, ping pong",236,281,327,372,0.82323563
Playing tennis,413,493,572,651,1.441339355
Volleyball,177,211,245,279,0.617426722
Wrestling,354,422,490,558,1.234853445
Mountain climbing,472,563,654,745,1.647825266
"Walking, under 2.0 mph, very slow",118,141,163,186,0.411617815
"Walking 2.0 mph, slow",148,176,204,233,0.515199272
Walking 2.5 mph,177,211,245,279,0.617426722
"Walking 3.0 mph, moderate",195,232,270,307,0.679710997
"Walking 3.5 mph, brisk pace",224,267,311,354,0.782615451
"Walking 3.5 mph, uphill",354,422,490,558,1.234853445
"Walking 4.0 mph, very brisk",295,352,409,465,1.02972154
Walking 4.5 mph,372,443,515,586,1.297137719
Walking 5.0 mph,472,563,654,745,1.647825266
"Canoeing, rowing, light",177,211,245,279,0.617426722
"Canoeing, rowing, moderate",413,493,572,651,1.441339355
"Canoeing, rowing, vigorous",708,844,981,1117,2.471060896
Water skiing,354,422,490,558,1.234853445
"Skin diving, fast",944,1126,1308,1489,3.294973528
"Skin diving, moderate",738,880,1022,1163,2.574642352
"Skin diving, scuba diving",413,493,572,651,1.441339355
"Surfing, body surfing or board surfing",177,211,245,279,0.617426722
"Swimming laps, freestyle, fast",590,704,817,931,2.059443081
"Swimming laps, freestyle, slow",413,493,572,651,1.441339355
"Swimming leisurely, not laps",354,422,490,558,1.234853445
"Ice skating, < 9 mph",325,387,449,512,1.132625994
"Ice skating, average speed",413,493,572,651,1.441339355
"Ice skating, rapidly",531,633,735,838,1.85295717
General cleaning,207,246,286,326,0.721008179
